start,end,days,sign,avg_abs_pos,trade_return_pct
1988-08-03,1988-08-08,4,1,3.0,0.02172744422680955
1988-08-10,1988-09-02,18,-1,22.72222222222222,-3.541365132853236
1988-09-05,1988-11-11,50,1,24.88,-2.988152570194649
1988-11-14,1988-12-06,17,-1,14.058823529411764,-1.3667887835560402
1988-12-07,1988-12-12,4,1,2.25,0.17275441049099594
1988-12-13,1988-12-22,8,-1,9.5,-1.4359260716087028
1988-12-26,1988-12-27,2,1,2.0,-0.11505412148046916
1988-12-28,1989-01-13,13,-1,17.23076923076923,-2.4898013490663917
1989-01-16,1989-02-10,20,1,18.6,-2.1425513106277165
1989-02-13,1989-04-03,36,-1,30.63888888888889,-1.8409728464100827
1989-04-05,1989-04-10,4,1,10.25,-0.9976201670193767
1989-04-11,1989-04-17,5,-1,5.2,-0.2667606843398558
1989-04-18,1989-08-22,91,1,30.978021978021978,6.1544364748751335
1989-08-28,1989-09-25,21,1,13.19047619047619,-2.77985156094487
1989-09-26,1989-10-03,6,-1,5.0,0.04748635450138411
1989-10-05,1990-01-02,64,1,41.609375,-1.984499966190776
1990-01-03,1990-05-14,94,-1,34.42553191489362,2.844481766007043
1990-05-15,1990-05-18,4,1,3.75,-0.19221451759608185
1990-05-21,1990-05-23,3,-1,4.0,-0.28247003236895274
1990-05-24,1990-06-25,23,1,9.173913043478262,-0.9895249425109435
1990-06-26,1990-06-28,3,-1,4.0,-0.17582198250576977
1990-06-29,1990-07-09,7,1,12.857142857142858,-1.9526483368691516
1990-07-10,1990-07-13,4,-1,5.75,-0.7182177061504944
1990-07-16,1990-08-06,16,1,11.9375,-5.936284450339919
1990-08-07,1990-10-01,40,-1,20.35,-6.00110823948352
1990-10-02,1990-10-10,7,1,9.285714285714286,-2.1396486704376905
1990-10-11,1990-10-18,6,-1,10.833333333333334,-1.585094531195387
1990-10-19,1991-03-01,96,1,33.489583333333336,-1.229450195114567
1991-03-04,1991-03-12,7,-1,5.571428571428571,-0.03870370438929771
1991-03-14,1991-03-18,3,1,9.666666666666666,-0.8813303973677696
1991-03-19,1991-03-27,7,-1,8.428571428571429,-1.569909919810986
1991-03-28,1991-05-14,34,1,18.352941176470587,-4.572469147822393
1991-05-15,1991-05-17,3,-1,1.6666666666666667,-0.07174835911537732
1991-05-22,1991-06-05,11,1,11.272727272727273,-1.2342933798848437
1991-06-06,1991-07-01,18,-1,23.0,-1.2030336428419188
1991-07-04,1991-07-05,2,1,4.0,-0.2543741035543188
1991-07-08,1991-07-12,5,-1,15.0,-1.3643882265749516
1991-07-15,1992-02-14,155,1,48.380645161290325,32.250529090780645
1992-02-19,1992-02-26,6,-1,5.666666666666667,-0.3635725342873058
1992-02-27,1992-03-05,6,1,8.333333333333334,-0.824586065908187
1992-03-06,1992-03-09,2,-1,2.0,0.01772384992548029
