,US10
1983-10-20,-7.149583734185061
1983-10-21,-7.072531281489114
1983-10-24,-7.497288994542151
1983-10-25,-7.639161405473837
1983-10-26,-7.64699776017741
1983-10-27,-7.63227744028856
1983-10-28,-7.587382772274309
1983-10-31,-7.406736105914247
1983-11-01,-7.672301198929398
1983-11-02,-7.591514462478466
1983-11-03,-7.22765605067448
1983-11-04,-6.700013344462685
1983-11-07,-6.831401041894047
1983-11-08,-7.07723874656605
1983-11-09,-6.8217011531191085
1983-11-10,-8.038842681806491
1983-11-11,-9.310913490355466
1983-11-14,-8.73881090701747
1983-11-15,-8.723213634211524
1983-11-16,-8.717508835063658
1983-11-17,-8.717508835063658
1983-11-18,-8.700393367970227
1983-11-21,-8.782764638704577
1983-11-22,-8.94239480058685
1983-11-23,-8.93202393303415
1983-11-24,-8.93450239267175
1983-11-25,-8.775137771858931
1983-11-28,-9.101897945242355
1983-11-29,-8.707947898878244
1983-11-30,-8.959001042156334
1983-12-01,-9.022833561850085
1983-12-02,-9.59392837749754
1983-12-05,-9.609994266153144
1983-12-06,-9.629057002619778
1983-12-07,-9.477790942341413
1983-12-08,-9.05843089498738
1983-12-09,-8.990075335504532
1983-12-12,-9.388791296363486
1983-12-13,-8.437373604975306
1983-12-14,-8.119399768111624
1983-12-15,-8.556349717215273
1983-12-16,-9.756547627176825
1983-12-19,-9.960074630908233
1983-12-20,-9.96618019730352
1983-12-21,-10.248756163387718
1983-12-22,-10.994039362131103
1983-12-23,-10.839137061984506
1983-12-26,-10.840335988923522
1983-12-27,-11.066021388451553
1983-12-28,-10.777760713245776
1983-12-29,-10.765010869906178
1983-12-30,-10.765010869906178
1984-01-02,-10.767391987745933
1984-01-03,-10.728352721740563
1984-01-04,-10.80719516410319
1984-01-05,-10.809570696467652
1984-01-06,-11.007051330221984
1984-01-09,-10.94860635094459
1984-01-10,-10.970869199356848
1984-01-11,-10.964044019358198
1984-01-12,-11.005779623724122
1984-01-13,-10.57471386877653
1984-01-16,-10.544771107990503
1984-01-17,-10.807111269788871
1984-01-18,-11.141584602527166
1984-01-19,-10.941653167882848
1984-01-20,-11.208828208379195
1984-01-23,-11.010219271563448
1984-01-24,-11.074180676462008
1984-01-25,-11.074180676462008
1984-01-26,-10.882434378545625
1984-01-27,-10.946487628836044
1984-01-30,-11.138509264886364
1984-01-31,-11.138509264886364
1984-02-01,-10.94806885946278
1984-02-02,-10.213390427553337
1984-02-03,-10.341567868164558
1984-02-06,-11.000735318890499
1984-02-07,-11.16204648612501
1984-02-08,-11.249440832784686
1984-02-09,-11.508038450709146
1984-02-10,-12.123293330358143
1984-02-13,-12.641320531103538
1984-02-14,-12.710810510948367
1984-02-15,-12.884194313635478
1984-02-16,-12.884194313635478
1984-02-17,-12.123054856381732
1984-02-20,-12.124170706628712
1984-02-21,-12.398782673170505
1984-02-22,-12.234530390682696
1984-02-23,-11.194546309291365
1984-02-24,-11.879697679112677
1984-02-27,-11.0370472881692
1984-02-28,-10.658954739143912
1984-02-29,-11.611602229369378
1984-03-01,-11.202805889680201
1984-03-02,-12.126851690890717
1984-03-05,-10.714322270878295
1984-03-06,-10.401822398826365
1984-03-07,-9.151937764847473
1984-03-08,-8.890756289583134
1984-03-09,-8.422688333237026
1984-03-12,-9.01336861256562
1984-03-13,-8.68922873824789
1984-03-14,-7.550697559077912
1984-03-15,-7.720844011180694
1984-03-16,-6.650277219037292
1984-03-19,-4.0419950948646814
1984-03-20,-4.463648740289317
1984-03-21,-4.69500400248587
1984-03-22,-3.743064803664886
1984-03-23,-3.0165774167790205
1984-03-26,-4.309079028236695
1984-03-27,-3.7767982803312727
1984-03-28,-6.72062685794238
1984-03-29,-8.29108706299978
1984-03-30,-4.385206595564261
1984-04-02,-4.199952933343177
1984-04-03,-2.343827021426703
1984-04-04,-1.7862166825252657
1984-04-05,-3.103660297404409
1984-04-06,-7.463995584021211
1984-04-09,-8.419719415080495
1984-04-10,-7.553314652238175
1984-04-11,-7.917323475794991
1984-04-12,-9.125908605175182
1984-04-13,-6.633483205429968
1984-04-16,-6.108296548460512
1984-04-17,-6.647002000102631
1984-04-18,-4.31317705010521
1984-04-19,-3.2421077005454046
1984-04-20,-3.254009758619425
1984-04-23,-3.254009758619425
1984-04-24,-4.273022380377123
1984-04-25,-5.155505455308029
1984-04-26,-6.031907000741543
