start,end,days,sign,avg_abs_pos,trade_return_pct
2007-05-16,2007-07-20,48,-1,2.6458333333333335,11.929635160640194
2007-07-27,2007-10-09,53,1,1.528301886792453,3.6632987466979947
2007-10-18,2007-12-26,50,1,2.0,14.224024873404085
2007-12-31,2008-04-16,78,1,1.3846153846153846,14.884144357000771
2008-06-16,2008-06-18,3,-1,1.0,-2.132512994251132
2008-07-02,2008-07-17,12,1,1.0,-0.6953892031443711
2008-08-04,2008-09-19,35,1,1.2571428571428571,6.02872375926203
2008-11-17,2009-01-29,54,1,1.0,14.671774949532633
2009-02-13,2009-02-19,5,1,1.0,-0.4209422642133793
2009-03-16,2009-03-17,2,1,1.0,-1.241187230419064
2009-05-27,2009-06-23,20,-1,1.0,0.9108692675819259
2009-07-13,2009-07-14,2,1,1.0,-1.1469639100757538
2009-08-21,2009-08-21,1,1,1.0,-0.05082945108590072
2009-09-01,2009-09-18,14,1,1.0,-1.4245384095442148
2009-09-25,2009-10-15,15,1,1.3333333333333333,-2.3936692095102483
2009-10-21,2009-10-23,3,1,1.0,-0.8902804974620395
2009-11-03,2009-12-14,30,1,1.5333333333333334,-1.4677177113717463
2009-12-24,2010-01-12,14,-1,1.0,-2.0989960751725683
2010-01-21,2010-02-18,21,1,1.0,-1.2735001450050556
2010-02-25,2010-03-24,20,1,1.05,-2.4358657511581874
2010-04-06,2010-04-07,2,-1,1.0,-1.6219682355204825
2010-04-19,2010-11-15,151,1,1.8013245033112584,22.335082456815982
2010-12-09,2010-12-31,17,-1,1.0,0.6222922297992772
2011-02-04,2011-02-22,13,-1,1.0,-3.0740216220453136
2011-03-15,2011-03-24,8,1,1.0,-1.7220843333030522
2011-04-07,2011-04-12,4,-1,1.0,-1.2845680497560488
2011-04-19,2011-07-01,54,1,2.611111111111111,16.02897800610512
2011-07-07,2011-10-10,68,1,1.75,16.55643390874723
2011-10-19,2011-10-27,7,1,1.0,-3.0946824945666274
2011-11-02,2012-03-14,96,1,1.34375,-7.89366751626844
2012-03-19,2012-03-23,5,-1,1.0,-2.221001656655318
2012-04-09,2012-08-15,93,1,2.3655913978494625,16.53581588075115
2012-08-24,2012-09-14,16,1,1.3125,-2.7003911210295506
2012-09-24,2012-10-17,18,1,1.6111111111111112,-4.842593246426237
