start,end,days,sign,avg_contracts,trade_return_pct
1994-02-25,1994-03-09,9,-1,1.0,0.17848088691132843
1994-03-17,1994-03-24,6,1,1.0,-0.6457315196085068
1994-03-28,1994-05-19,39,-1,2.8205128205128207,-1.9939126572834998
1994-05-27,1994-06-20,17,1,1.1764705882352942,-0.6677266176353539
1994-06-22,1994-07-15,18,-1,2.5555555555555554,-0.6465446005809637
1994-08-01,1994-09-20,37,1,3.135135135135135,-2.0852058304401098
1994-09-23,1994-10-11,13,-1,1.6153846153846154,-3.214041053320789
1994-10-13,1994-10-24,8,1,1.625,-1.4929980551926718
1994-10-31,1994-11-04,5,1,1.6,-1.3730389902885112
1994-11-22,1994-12-16,19,-1,2.4210526315789473,-3.099361843491935
1994-12-28,1994-12-30,3,1,1.0,-0.2959920026896633
1995-01-16,1996-01-10,258,1,6.767441860465116,62.29443655761673
1996-01-17,1996-04-10,61,1,3.3278688524590163,3.7498627442534946
1996-04-17,1996-05-07,15,1,1.8666666666666667,-2.962473223076289
1996-05-10,1996-07-08,42,1,3.5952380952380953,-9.212370124653653
1996-07-12,1996-08-01,15,-1,1.8666666666666667,-2.785178235399059
1996-08-05,1996-08-30,20,1,1.75,-2.153671481403245
1996-09-03,1996-09-04,2,-1,1.0,-0.07682861937628681
1996-09-06,1996-09-06,1,-1,1.0,-0.0018525158537614718
1996-09-10,1997-03-27,143,1,3.5664335664335662,15.616314948738774
1997-04-01,1997-04-08,6,-1,1.0,-0.7070920421661957
1997-04-14,1997-04-16,3,-1,1.0,-2.1021815145384015
1997-04-24,1997-04-25,2,1,1.0,-0.7472468022510529
1997-04-30,1997-08-15,78,1,2.6923076923076925,25.043017040887403
1997-08-20,1997-08-28,7,1,1.0,-4.4780378537711325
1997-09-03,1997-10-27,39,1,1.7179487179487178,-14.06412684376942
1997-11-21,1997-12-19,21,1,1.0,-2.3040857593781867
1997-12-31,1998-01-08,7,1,1.0,-1.7940859103664546
1998-01-21,1998-01-26,4,1,1.0,-1.1841391516787143
1998-01-29,1998-06-03,90,1,2.6,18.816707704091026
1998-06-08,1998-06-15,6,1,1.0,-4.3439050558171015
1998-06-19,1998-07-28,28,1,1.8571428571428572,0.732150400901509
1998-08-05,1998-08-18,10,-1,1.0,-1.7664524946190796
1998-08-28,1998-09-14,12,-1,1.0,0.03617887101203543
1998-10-06,1998-10-15,8,-1,1.0,-6.975036395142481
1998-11-02,1998-12-14,31,1,1.1935483870967742,-0.4777261990078996
1998-12-18,1999-02-09,38,1,1.368421052631579,2.1131565509384878
1999-02-23,1999-02-26,4,1,1.0,-4.005933663329865
1999-03-08,1999-05-24,56,1,1.0714285714285714,-2.2334495749043386
1999-06-18,1999-06-25,6,1,1.0,-2.805108563709422
1999-06-30,1999-07-23,18,1,1.6666666666666667,-4.015001227628452
1999-08-05,1999-08-13,7,-1,1.0,-1.105047351725124
1999-08-24,1999-08-30,5,1,1.0,-4.404941761967629
1999-09-24,1999-10-04,7,-1,1.0,-3.0050344663758506
1999-10-18,1999-10-21,4,-1,1.0,-3.00510444463397
1999-11-02,2000-01-04,46,1,1.173913043478261,-2.811248147206136
2000-01-20,2000-01-21,2,1,1.0,-0.4051599400737438
2000-02-23,2000-02-29,5,-1,1.0,-0.7053881408189404
2000-03-22,2000-04-12,16,1,1.0,-4.10598917279382
2000-07-14,2000-07-21,6,1,1.0,-3.4066675978065053
2000-07-31,2000-08-03,4,-1,1.0,-2.206725163625573
2000-08-21,2000-09-06,13,1,1.0,-1.3066874296314217
2000-09-19,2000-10-23,25,-1,1.08,1.4809561732244907
2000-10-26,2000-10-30,3,-1,1.0,-4.2064994265849665
2000-11-13,2000-12-11,21,-1,1.0,-2.5093194903680813
2000-12-18,2000-12-27,8,-1,1.0,-0.4064391866916657
2001-01-03,2001-01-03,1,-1,1.0,-0.006057528456854643
2001-02-09,2001-04-18,49,-1,1.0204081632653061,9.780787619533868
2001-06-14,2001-11-06,104,-1,1.2019230769230769,19.667305222544112
2002-01-17,2002-02-13,20,-1,1.0,1.5454692984448974
2002-02-20,2002-02-27,6,-1,1.0,-1.054591281771167
