,US10
2008-07-22,408.71482787947525
2008-07-23,407.7726371976558
2008-07-24,408.8804610655229
2008-07-25,409.93704702385287
2008-07-28,410.3593386409194
2008-07-29,410.2591333353516
2008-07-30,410.2489079272273
2008-07-31,411.70561088432385
2008-08-01,412.17384060044077
2008-08-04,411.17267697379145
2008-08-05,410.16630576599925
2008-08-06,408.60392145459093
2008-08-07,416.50317610968256
2008-08-08,414.44881022762115
2008-08-11,410.837410201258
2008-08-12,418.1647343038324
2008-08-13,415.4119841528432
2008-08-14,418.9715481683987
2008-08-15,421.35808736025615
2008-08-18,424.4224770203835
2008-08-19,422.8734122997756
2008-08-20,428.3880928201248
2008-08-21,423.4425134926315
2008-08-22,418.6252066106447
2008-08-25,431.4164565469131
2008-08-26,430.93486038316746
2008-08-27,434.051975182819
2008-08-28,432.2681774186239
2008-08-29,428.97476807084615
2008-09-01,428.97476807084615
2008-09-02,441.52138835102653
2008-09-03,448.44925865025624
2008-09-04,455.22384379488176
2008-09-05,447.5249846377868
2008-09-08,441.96418401255926
2008-09-09,455.4922794266715
2008-09-10,444.6601799778514
2008-09-11,449.13263659560255
2008-09-12,431.3716278807135
2008-09-15,481.2765225984726
2008-09-16,474.76846628740145
2008-09-17,490.5745991103051
2008-09-18,489.07457844814354
2008-09-19,432.0935120570926
2008-09-22,422.2339597718359
2008-09-23,420.55201336772734
2008-09-24,421.4949849313926
2008-09-25,420.56607198948353
2008-09-26,421.0319449110325
2008-09-29,421.0319449110325
2008-09-30,420.97442946477156
2008-10-01,422.17244832104484
2008-10-02,422.80884599243615
2008-10-03,423.5930592614248
2008-10-06,426.67384459441126
2008-10-07,424.85849735952297
2008-10-08,413.29520858957096
2008-10-09,406.0174184703696
2008-10-10,405.9865154221722
2008-10-13,405.96304587809567
2008-10-14,408.0975774778938
2008-10-15,408.3001131588828
2008-10-16,406.94210086273
2008-10-17,408.8431337409652
2008-10-20,403.2776619656734
2008-10-21,395.78325384139214
2008-10-22,392.7377728815566
2008-10-23,392.1058136371951
2008-10-24,391.3515095552752
2008-10-27,391.3515095552752
2008-10-28,389.0943635582556
2008-10-29,388.21151652543193
2008-10-30,386.99446494839947
2008-10-31,386.48438641735055
2008-11-03,386.44984833609925
2008-11-04,384.5116497216351
2008-11-05,383.9768406075971
2008-11-06,383.94237539190783
2008-11-07,382.9858209298915
2008-11-10,384.34421855125686
2008-11-11,384.3328413674171
2008-11-12,388.1469624931856
2008-11-13,387.2122154257384
2008-11-14,390.6143240038636
2008-11-17,394.2402214060122
2008-11-18,402.2369655291084
2008-11-19,409.6334804980562
2008-11-20,427.54996793320066
2008-11-21,424.07557914066996
2008-11-24,407.42793625724545
2008-11-25,435.4354054645653
2008-11-26,454.51029178424045
2008-11-27,454.51029178424045
2008-11-28,464.38750635664724
2008-12-01,490.82969333569827
2008-12-02,495.4086234590499
