start,end,days,sign,avg_abs_pos,trade_return_pct
1988-03-30,1988-04-08,8,-1,4.875,-1.0612289583636283
1988-04-11,1988-04-15,5,1,3.8,-0.2012326313906055
1988-04-18,1988-06-06,36,-1,27.333333333333332,-0.3781392689102902
1988-06-07,1988-06-20,10,1,6.1,-2.642744485216425
1988-06-21,1988-06-23,3,-1,2.3333333333333335,-0.27401626734771833
1988-06-24,1988-07-08,11,1,5.7272727272727275,-0.964889488049325
1988-07-11,1988-08-02,17,-1,9.588235294117647,-0.8746529643291079
1988-08-03,1988-08-08,4,1,2.75,0.015326819191603114
1988-08-10,1988-09-02,18,-1,20.444444444444443,-2.984803292238051
1988-09-05,1988-11-11,50,1,21.98,-2.3879501996069776
1988-11-14,1988-12-06,17,-1,10.764705882352942,-1.0418558030258702
1988-12-07,1988-12-12,4,1,1.75,0.1355610820421491
1988-12-13,1988-12-23,9,-1,7.222222222222222,-1.1918946478222319
1988-12-26,1988-12-27,2,1,1.0,-0.05880412148046916
1988-12-28,1989-01-13,13,-1,13.615384615384615,-1.9081059435165408
1989-01-16,1989-02-10,20,1,14.85,-1.6757956438690065
1989-02-13,1989-04-04,37,-1,23.54054054054054,-2.208219831990694
1989-04-05,1989-04-10,4,1,8.0,-0.7637219108419397
1989-04-11,1989-04-17,5,-1,4.0,-0.27231107491010503
1989-04-19,1989-08-22,90,1,31.288888888888888,6.656166374454743
1989-08-28,1989-09-25,21,1,11.619047619047619,-2.3177128111205114
1989-09-26,1989-10-03,6,-1,4.0,0.05945258957261498
1989-10-05,1989-12-27,60,1,33.983333333333334,-0.8730273132376838
1989-12-28,1990-05-14,98,-1,27.93877551020408,0.20553877782370128
1990-05-15,1990-05-18,4,1,3.75,-0.18989033066247046
1990-05-21,1990-05-23,3,-1,4.0,-0.28247003236895274
1990-05-25,1990-06-25,22,1,9.227272727272727,-0.8605835032272405
1990-06-26,1990-06-28,3,-1,3.0,-0.11839331875480819
1990-06-29,1990-07-09,7,1,11.285714285714286,-1.72798578276609
1990-07-10,1990-07-13,4,-1,5.0,-0.6283445636015521
1990-07-16,1990-08-06,16,1,10.4375,-5.318122710017926
1990-08-07,1990-10-01,40,-1,20.1,-5.9482746439703185
1990-10-02,1990-10-10,7,1,8.428571428571429,-1.8705189906204094
1990-10-11,1990-10-18,6,-1,10.0,-1.4485073103139465
1990-10-19,1991-03-01,96,1,30.28125,-1.7638327205549222
1991-03-04,1991-03-12,7,-1,4.857142857142857,-0.028705933442585624
1991-03-14,1991-03-18,3,1,8.0,-0.6963127731165548
1991-03-20,1991-03-27,6,-1,8.833333333333334,-0.8228736724583943
1991-03-28,1991-05-14,34,1,15.352941176470589,-3.757483443382648
1991-05-15,1991-05-17,3,-1,1.0,-0.034530724372992073
1991-05-22,1991-06-05,11,1,9.454545454545455,-0.9532250824173524
1991-06-06,1991-07-03,20,-1,16.8,-1.045174867461938
1991-07-04,1991-07-05,2,1,2.0,-0.12828057766573908
1991-07-08,1991-07-12,5,-1,10.2,-0.9387005708624054
1991-07-15,1992-02-14,155,1,43.3741935483871,24.75401844503742
1992-02-19,1992-02-26,6,-1,5.666666666666667,-0.3635725342873058
1992-02-27,1992-03-05,6,1,8.333333333333334,-0.824586065908187
1992-03-06,1992-03-09,2,-1,2.0,0.01772384992548029
1992-03-11,1992-03-12,2,1,3.0,-0.21930011188899012
1992-03-13,1992-03-25,9,-1,11.11111111111111,-1.9033925325679903
1992-03-26,1992-10-20,149,1,39.288590604026844,26.801165810656492
1992-10-22,1992-10-29,6,-1,1.0,-0.0013788819154770815
1992-10-30,1992-11-04,4,1,2.0,-0.04273660948125685
1992-11-09,1992-11-11,3,-1,7.0,-0.6650978903262925
1992-11-13,1992-11-30,12,1,9.0,-0.9002411592830087
1992-12-04,1993-11-03,239,1,48.54811715481171,42.68080139667259
1993-11-04,1993-11-12,7,-1,6.142857142857143,-0.4117965418185905
1993-11-16,1993-11-22,5,1,7.6,-1.676829230621683
1993-11-23,1993-11-26,4,-1,7.5,-0.1615001235950097
1993-11-29,1994-01-03,26,1,11.307692307692308,-3.6515560076227
1994-01-04,1994-01-07,4,-1,1.0,0.18644527674103317
1994-01-10,1994-02-04,20,1,22.15,-5.20930661612222
1994-02-08,1994-06-06,85,-1,28.941176470588236,12.64869018300791
1994-06-07,1994-06-10,4,1,1.0,0.10182091992048733
1994-06-14,1994-08-01,35,-1,15.771428571428572,-2.784554681774064
1994-08-02,1994-08-05,4,1,3.5,-0.6049147986881269
1994-08-08,1994-08-17,8,-1,9.25,-1.5695323945212936
1994-08-19,1994-08-31,9,-1,3.6666666666666665,-0.43988977331535506
1994-09-01,1994-09-06,4,1,2.75,-0.13780217017373553
1994-09-08,1995-01-13,92,-1,24.01086956521739,-1.0555867564091892
1995-01-16,1995-01-20,5,1,4.0,-0.48691551828210594
1995-01-23,1995-01-27,5,-1,5.8,-1.371679701215154
1995-01-30,1996-02-20,277,1,42.21660649819495,35.36672852706807
1996-02-22,1996-06-28,92,-1,20.902173913043477,-3.9069047582592713
1996-07-01,1996-07-05,5,1,5.2,-1.1086928455479625
1996-07-08,1996-07-18,9,-1,21.666666666666668,-5.0425286880029985
1996-07-19,1996-07-24,4,1,4.0,0.12567667321756404
1996-07-25,1996-08-01,6,-1,6.166666666666667,-1.502636073042005
1996-08-02,1996-08-26,17,1,18.823529411764707,-3.642343788211615
1996-08-27,1996-09-16,15,-1,21.466666666666665,-2.6082131561932167
1996-09-17,1996-09-18,2,1,2.0,0.12330978635717348
1996-09-20,1996-09-25,4,-1,4.0,-0.49385388539610153
1996-09-26,1996-12-12,56,1,39.92857142857143,1.4910535531391726
1996-12-19,1996-12-20,2,-1,4.5,-0.04911925885626477
1996-12-23,1997-01-02,9,1,6.333333333333333,-1.109191417118582
1997-01-03,1997-02-03,22,-1,13.318181818181818,-1.8159079467172385
1997-02-04,1997-02-26,17,1,24.176470588235293,-3.1635452237873087
1997-02-27,1997-04-30,45,-1,32.17777777777778,-0.3285257680670812
1997-05-01,1997-05-27,19,1,10.789473684210526,-0.5949626925982527
1997-05-28,1997-05-30,3,-1,6.0,-0.5027212400321704
1997-06-02,1998-03-03,197,1,34.77157360406091,3.820613562669788
1998-03-04,1998-03-10,5,-1,6.4,-0.45223292432985707
1998-03-11,1998-04-27,34,1,18.264705882352942,-5.046678132742117
1998-04-28,1998-05-01,4,-1,12.75,-1.4315662578428878
1998-05-05,1998-05-11,5,1,4.6,-0.37278018417433323
1998-05-14,1998-11-06,127,1,41.188976377952756,33.62977369815278
