index,meta_best,baseline_g1
2021-07-20,811.2184445953507,776.2069985160853
2021-07-21,795.9479380160795,761.0781892575513
2021-07-22,798.7191744168927,763.8219680911473
2021-07-23,800.6458732561068,765.7296268777923
2021-07-26,797.6321768914179,762.7455930029126
2021-07-27,807.398777220917,772.4065573760349
2021-07-28,810.0452049377515,775.0249677140791
2021-07-29,800.7495184037559,765.8316143040405
2021-07-30,813.2275730028036,778.1529744913973
2021-08-02,826.2571068096136,791.0081198654179
2021-08-03,829.0219728414876,793.7368399435863
2021-08-04,820.3788331606218,785.8312694471358
2021-08-05,804.9036463511625,772.3436279031544
2021-08-06,788.6965705020939,756.2476746400838
2021-08-09,781.4264919102657,749.0343385300832
2021-08-10,773.5213784588404,741.196405632917
2021-08-11,777.2659861305252,744.907726542996
2021-08-12,773.919215512084,741.5905165095432
2021-08-13,794.029014484187,761.4572203878437
2021-08-16,798.2500742410006,765.6292949834748
2021-08-17,798.2500742410006,765.6292949834748
2021-08-18,799.5182194197329,766.7631984377228
2021-08-19,801.5502959114962,768.5371191735728
2021-08-20,795.1179854244149,763.0035804428647
2021-08-23,798.2393704552281,765.5323044252738
2021-08-24,783.175840266205,753.2355549801242
2021-08-25,768.5273579403814,740.5836860060517
2021-08-26,764.1647148354868,736.189811580991
2021-08-27,780.2346323341488,752.3319244501954
2021-08-30,790.0292549278339,762.1713062637355
2021-08-31,782.4933197333912,754.6038952066702
2021-09-01,786.9693786490337,759.097106437754
2021-09-02,790.5749214706871,762.440529042412
2021-09-03,780.1450615207292,753.4585769413023
2021-09-06,780.1450615207292,753.4585769413023
2021-09-07,780.1450615207292,753.4585769413023
2021-09-08,790.0641842809991,763.4509133762659
2021-09-09,802.4130873994886,775.7676492363389
2021-09-10,787.1787859589435,760.6018013468567
2021-09-13,793.6727285783602,766.2581205745269
2021-09-14,808.5230551953309,779.2367757467265
2021-09-15,800.9449350952278,772.6196124671093
2021-09-16,782.3235861858901,755.9138800643713
2021-09-17,771.967031495731,746.1447921509865
2021-09-20,789.8381059036464,763.0383797711211
2021-09-21,787.7173444131738,761.0031846920706
2021-09-22,788.4064396092472,761.7080407315548
2021-09-23,751.1331331236613,724.3311894089695
2021-09-24,748.54694372305,721.7417941096019
2021-09-27,738.3761653990961,711.5692936351081
2021-09-28,730.0414884136206,703.2415070066305
2021-09-29,735.756508822328,708.9480302835132
2021-09-30,743.4269788251802,716.6045187383487
2021-10-01,750.809274025279,723.9720671470362
2021-10-04,746.9934352757315,720.1633224326223
2021-10-05,736.2854689933469,709.4873620813972
2021-10-06,737.7397205685222,710.9367063259649
2021-10-07,750.0508821804127,723.1912512988627
2021-10-08,757.955943546141,731.0597886016707
2021-10-11,766.0473075222486,739.112548732536
2021-10-12,756.227307152828,729.3449629080337
2021-10-13,750.0171276328581,723.1718126549601
2021-10-14,743.1582024867279,716.3576201115605
2021-10-15,761.9818665774718,735.0077914515939
2021-10-18,772.2006929377393,745.1322118898787
2021-10-19,775.6886869144125,748.588837341674
2021-10-20,778.2856826882393,751.162712883286
2021-10-21,794.0335590123861,766.752692375122
2021-10-22,777.3753453669075,750.2854288969471
2021-10-25,774.0019045239485,746.9522596780555
2021-10-26,772.0071686782815,744.9815762179696
2021-10-27,759.8101367013801,732.9430325888362
2021-10-28,771.3755315696754,743.6730410615812
2021-10-29,770.8402903145819,743.1737127106538
2021-11-01,768.9951384335201,741.6137116353023
2021-11-02,760.3987774946163,734.6303879106147
2021-11-03,773.5954314462795,746.9601667581976
2021-11-04,748.1960837265395,725.0808014685834
2021-11-05,732.4642100027929,709.12589974192
2021-11-08,745.3920009612267,722.2026510081367
2021-11-09,734.5941775023889,711.2909889928454
2021-11-10,757.798566694532,734.5973948897463
2021-11-11,765.8878147756983,742.7269151550322
2021-11-12,759.2718822694316,736.0801792552049
2021-11-15,766.6320347113118,743.4710441344791
2021-11-16,770.0800008781168,746.9343974030854
2021-11-17,762.2385272459816,739.0633233701111
2021-11-18,760.4337318460706,737.2523808005374
2021-11-19,757.062638293792,733.8706853274134
2021-11-22,775.1754553072406,751.9971672537429
2021-11-23,779.7978060793607,756.6256884879064
2021-11-24,778.3179628024363,755.1437764272043
2021-11-25,778.3179628024363,755.1437764272043
2021-11-26,778.3179628024363,755.1437764272043
2021-11-29,783.4660089682201,760.2984310633317
2021-11-30,771.330260910009,748.1633992327181
2021-12-01,762.6190393023119,739.4628123665373
2021-12-02,774.7778964715465,751.5946307192006
2021-12-03,756.5314087111025,733.4311921377729
2021-12-06,770.9848500381065,747.7976136314365
2021-12-07,778.8080739799426,755.5752286518112
2021-12-08,784.0620324502045,760.799407138593
2021-12-09,780.4262006455524,757.1843916475129
2021-12-10,777.0479832174894,753.8263407870678
2021-12-13,765.5999832685197,742.4588051385368
2021-12-14,772.0097715135573,748.8212542580416
2021-12-15,773.5754003240266,750.3755718785376
2021-12-16,758.1553089662748,735.0900215746158
2021-12-17,758.536201043217,735.4674695360327
2021-12-20,759.3304836981468,736.2545865195356
2021-12-21,768.7404311732598,745.5770750574592
2021-12-22,768.7404311732598,745.5770750574592
2021-12-23,774.4278971599095,751.2124466190165
2021-12-24,774.4278971599095,751.2124466190165
2021-12-27,774.4278971599095,751.2124466190165
2021-12-28,774.4278971599095,751.2124466190165
2021-12-29,787.8741999406092,764.5287505209076
2021-12-30,779.6426914579857,756.3785467442636
2021-12-31,782.5982571380134,759.3044806025432
2022-01-03,808.8577929293249,785.2364962381481
2022-01-04,811.0355685326763,787.3880147161321
2022-01-05,825.7173175946273,801.8866596420503
2022-01-06,832.8939595876603,808.9751233469283
2022-01-07,840.3271878688511,816.3175540271772
2022-01-10,843.2235444140076,819.1788588472978
2022-01-11,838.2139405988416,814.2308543809678
2022-01-12,840.2818844119612,816.2732221541688
2022-01-13,827.6448524844199,803.8020906382658
2022-01-14,845.9617767136693,821.8634084602434
2022-01-17,845.9617767136693,821.8634084602434
2022-01-18,845.9617767136693,821.8634084602434
2022-01-19,843.3487024527541,819.2866172351511
2022-01-20,825.6523672691596,801.8570686708632
2022-01-21,815.2388520274482,791.6070648766789
2022-01-24,816.240236370968,792.5926113655678
2022-01-25,816.240236370968,792.5926113655678
2022-01-26,844.818478016142,820.6721221081311
2022-01-27,833.6657747292946,809.7155937960871
2022-01-28,824.3750102463098,800.5916761841382
2022-01-31,823.9266243927005,800.1513832849438
2022-02-01,827.6604426326562,803.8178088853778
2022-02-02,823.2911942581543,799.5276599495077
2022-02-03,838.0076262365062,813.973340855807
2022-02-04,858.0912910590184,833.6801479173554
2022-02-07,859.6536727769445,835.0688668583759
2022-02-08,871.7552362046106,846.5428266514222
2022-02-09,867.0914999393096,842.1363607189998
2022-02-10,894.4129008763946,868.937752652184
2022-02-11,875.9420903597952,850.8271746542114
