,baseline_daily_pct,dmom_daily_pct,w_dmom
2002-05-09,2.495469659010198,0.03706100994951117,0.01485131659112659
2002-05-10,2.0,0.036714093001355995,0.018357046500677997
2002-05-13,-2.15,-0.04518618233730861,0.021016828994097028
2002-05-14,-2.3,-0.03936208041393988,0.01711394800606082
2002-05-15,0.3953766603249791,0.00538749957739757,0.013626245851157034
2002-05-16,0.0,0.0,0.014113795995921895
2002-05-17,-0.0015121554313546096,-2.1248214225345715e-05,0.014051607251981546
2002-05-20,0.0,0.0,0.01387594823225195
2002-05-21,0.0,0.0,0.013773590984135563
2002-05-22,0.0,0.0,0.013825483071156447
2002-05-23,0.0,0.0,0.013778628479527667
2002-05-24,0.0,0.0,0.01341788793970052
2002-05-27,0.0,0.0,0.013308962716717068
2002-05-28,0.0,-0.0,-0.0062749731162279315
2002-05-29,-0.0042995754445673195,-5.7899252380481045e-05,0.013466271990561067
2002-05-30,0.2,0.0026137196459905566,0.013068598229952783
2002-05-31,-0.175,-0.0022489327179684715,0.01285104410267698
2002-06-03,2.875,0.03379863876883128,0.011756048267419578
2002-06-04,-0.275,-0.004346938612957383,0.015807049501663208
2002-06-05,-0.9,-0.01335484361209415,0.014838715124549054
2002-06-06,2.1,0.027893449066776176,0.01328259479370294
2002-06-07,0.125,0.002008602599639441,0.016068820797115527
2002-06-10,-0.375,-0.00586337346334434,0.01563566256891824
2002-06-11,1.775,-0.009672584733542199,-0.0054493435118547606
2002-06-12,-0.6,-0.008881910156167575,0.014803183593612627
2002-06-13,0.95,0.013280940571997914,0.013979937444208331
2002-06-14,0.175,0.0026324096829976815,0.015042341045701037
2002-06-17,-2.6542188913798594,-0.038021301773620675,0.01432485538291621
2002-06-18,-1.7542222317372425,-0.02078704645796314,0.011849722390861104
2002-06-19,2.5,0.023913588105345978,0.009565435242138392
2002-06-20,1.25,0.01554108481456952,0.012432867851655616
2002-06-21,1.575,0.02131156040882203,0.013531149465918749
2002-06-24,-0.5,-0.007677306960446073,0.015354613920892147
2002-06-25,2.25,0.032259834063471396,0.014337704028209509
2002-06-26,-0.029224637257573082,-0.0004977003028353156,0.01703016186133653
2002-06-27,-3.45,-0.05387621873772742,0.015616295286297802
2002-06-28,0.3957522239091336,0.004838672118391411,0.012226519084583566
2002-07-01,2.05,0.024912702790085582,0.012152537946383211
2002-07-02,2.2,0.030651043908385724,0.013932292685629873
2002-07-03,-0.579276503290919,-0.009423512941097022,0.016267728602077324
2002-07-04,0.0,0.0,0.015684479926078857
2002-07-05,-7.55,0.02170230490638986,-0.002874477471045015
2002-07-08,2.5456891138333204,0.02994747225828004,0.011763994313188102
2002-07-09,2.425,0.03210395183048538,0.01323874302288057
2002-07-10,3.5,0.050886344662248506,0.014538955617785287
2002-07-11,-0.8043905154530282,-0.014161320263947197,0.01760503137704405
2002-07-12,1.95,0.031354487083198976,0.016079224145230244
2002-07-15,-0.65,-0.011262672967108735,0.017327189180167284
2002-07-16,3.45,0.05552645065718988,0.016094623378895615
2002-07-17,-0.35,-0.00642495555309127,0.01835701586597506
2002-07-18,5.9,0.09411931332983528,0.015952425988107675
2002-07-19,6.3,0.11045512349717208,0.01753255928526541
2002-07-22,4.85,0.09731663822315875,0.020065286231579126
2002-07-23,4.6,0.1002381264576047,0.021790897056001023
2002-07-24,-9.45,-0.19423588430308425,0.020554061831014207
2002-07-25,1.4453297168468056,0.02315565825614144,0.016021021353285973
2002-07-26,-1.7,-0.027862282476923496,0.016389577927602057
2002-07-29,-4.0,-0.060298438518757096,0.015074609629689274
2002-07-30,-1.175,-0.01645122892179599,0.014001045890890202
2002-07-31,-0.6,-0.007828573147196682,0.01304762191199447
2002-08-01,2.75,0.03460444812589374,0.01258343568214318
